q,k
q’,k
qw,kw
qw’,kw
ts’,ts
ch’,ch
t’,t
p’,p
k’,k
kw’,kw
tl’,tl
tth’,tth
l’,lh
’l,l
l’,l
w’,w
’w,w
m’,m
’m,m
n’,n
’n,n
y’,y’
’y,’y
